fth      throughput_alg1      avgFidelity_alg1      avepurround_alg1      consumption_alg1      time_alg1      throughput_alg2      avgFidelity_alg2      avepurround_alg2      consumption_alg2      time_alg2
0.55    0.0    0.0    0.0    0.0    0.0        50.0    0.6908985999736172    0.0    50.0    0.00045402858257293703    
0.6    0.0    0.0    0.0    0.0    0.0        46.821444509617685    0.7015159087711399    3.1616    78.948    0.00045888519287109374    
0.65    0.0    0.0    0.0    0.0    0.0        36.6180658430269    0.7380342579438441    23.0024    186.816    0.0002685925006866455    
0.7    0.0    0.0    0.0    0.0    0.0        31.814934735113045    0.7667546722706529    30.7539    229.6183    0.00030291833877563477    
0.75    0.0    0.0    0.0    0.0    0.0        22.892840972788893    0.8096968262733417    52.3117    315.1144    0.00039704594612121583    
0.8    0.0    0.0    0.0    0.0    0.0        13.593896387861706    0.8601969707220023    77.2878    386.0152    0.0008157257080078125    
0.85    0.0    0.0    0.0    0.0    0.0        10.716925749159483    0.8947966698072891    83.3279    403.7594    0.0007701264381408692    
0.9    0.0    0.0    0.0    0.0    0.0        7.660613427137001    0.9298679377958146    95.5128    405.7106    0.000748507022857666    
0.95    0.0    0.0    0.0    0.0    0.0        4.189693213308937    0.9659792668422625    110.0483    390.6031    0.0006973221778869629    
