fth      throughput_alg1      avgFidelity_alg1      avepurround_alg1      consumption_alg1      time_alg1      throughput_alg2      avgFidelity_alg2      avepurround_alg2      consumption_alg2      time_alg2
0.55    0.0    0.0    0.0    0.0    0.0        50.0    0.7159528986364968    0.0    100.0    0.00040711386203765867    
0.6    0.0    0.0    0.0    0.0    0.0        49.3843862180179    0.7263676536141623    1.6824    129.5361    0.0004420820951461792    
0.65    0.0    0.0    0.0    0.0    0.0        47.73528673630011    0.7472982419432653    4.5714    169.4078    0.00017288930416107178    
0.7    0.0    0.0    0.0    0.0    0.0        43.6154094716097    0.7955441592341153    9.689    262.7419    0.0002445950984954834    
0.75    0.0    0.0    0.0    0.0    0.0        39.31858223138156    0.8403843518194075    14.3064    325.6706    0.0003101078510284424    
0.8    0.0    0.0    0.0    0.0    0.0        34.54591723873849    0.891675100657116    27.4249    455.2701    0.0007667781114578247    
0.85    0.0    0.0    0.0    0.0    0.0        29.38422162491671    0.9220722457514988    37.3461    506.6998    0.0008427541971206665    
0.9    0.0    0.0    0.0    0.0    0.0        23.654877220594567    0.9526890729077692    45.3583    507.7776    0.0008571902751922608    
0.95    0.0    0.0    0.0    0.0    0.0        18.320170994145332    0.97561907525116    56.9676    510.9633    0.0008082189321517944    
