fth      throughput_alg1      avgFidelity_alg1      avepurround_alg1      consumption_alg1      time_alg1      throughput_alg2      avgFidelity_alg2      avepurround_alg2      consumption_alg2      time_alg2
0.55    0.0    0.0    0.0    0.0    0.0        50.0    0.8440646035289171    0.0    50.0    0.00046355247497558593    
0.6    0.0    0.0    0.0    0.0    0.0        50.0    0.8440646035289171    0.0    50.0    0.0005158662796020507    
0.65    0.0    0.0    0.0    0.0    0.0        50.0    0.8440646035289171    0.0    50.0    0.00015692472457885743    
0.7    0.0    0.0    0.0    0.0    0.0        50.0    0.8440646035289171    0.0    50.0    7.064104080200196e-05    
0.75    0.0    0.0    0.0    0.0    0.0        48.91511472350148    0.8552710861484663    1.32    75.71    0.00020142078399658204    
0.8    0.0    0.0    0.0    0.0    0.0        46.213331734084775    0.8836376047802681    7.16    159.69    0.0007702589035034179    
0.85    0.0    0.0    0.0    0.0    0.0        41.36283553136568    0.9131854096569674    14.05    241.44    0.0003272199630737305    
0.9    0.0    0.0    0.0    0.0    0.0        35.59740593448095    0.9468135755108201    30.0    374.24    0.001098484992980957    
0.95    0.0    0.0    0.0    0.0    0.0        26.183717368595463    0.9768169450885802    45.48    447.01    0.0008954191207885742    
