fth      throughput_alg1      avgFidelity_alg1      avepurround_alg1      consumption_alg1      time_alg1      throughput_alg2      avgFidelity_alg2      avepurround_alg2      consumption_alg2      time_alg2
0.55    0.0    0.0    0.0    0.0    0.0        50.0    0.8353205940159647    0.0    50.0    0.0004188287973403931    
0.6    0.0    0.0    0.0    0.0    0.0        50.0    0.8353205940159647    0.0    50.0    0.00042035727500915526    
0.65    0.0    0.0    0.0    0.0    0.0        50.0    0.8353205940159647    0.0    50.0    9.856641292572022e-05    
0.7    0.0    0.0    0.0    0.0    0.0        50.0    0.8353205940159647    0.0    50.0    0.00011290040016174316    
0.75    0.0    0.0    0.0    0.0    0.0        48.616370923926354    0.8464730953839428    1.2478    73.9324    0.00015205211639404296    
0.8    0.0    0.0    0.0    0.0    0.0        43.865232795362935    0.8884160359125058    9.2113    182.6383    0.0005308076620101929    
0.85    0.0    0.0    0.0    0.0    0.0        39.6923755162888    0.9145152706545483    14.9525    249.382    0.0006027642726898193    
0.9    0.0    0.0    0.0    0.0    0.0        34.08312524226941    0.943715253328928    26.0999    342.0762    0.0007388386249542236    
0.95    0.0    0.0    0.0    0.0    0.0        24.179036923554836    0.9769331764013339    41.6406    422.8665    0.0007283098697662354    
