fth      throughput_alg1      avgFidelity_alg1      avepurround_alg1      consumption_alg1      time_alg1      throughput_alg2      avgFidelity_alg2      avepurround_alg2      consumption_alg2      time_alg2
0.55    9.118572767542677    0.573959828509732    66.726    465.173    0.6153951172828674        6.8198111317401775    0.6431317040712857    171.288    663.877    0.001007446765899658    
0.6    7.226141212883816    0.6198158777682055    70.854    445.849    0.5765708546638488        5.6014654788222735    0.6844600108525573    182.303    663.625    0.0009568979740142823    
0.65    5.9076968576965445    0.6666768284871272    78.146    443.607    0.5505301003456116        4.751708509394907    0.7256896525411352    193.763    660.324    0.0009897236824035645    
0.7    3.9720477559201095    0.7147979774432374    83.188    441.443    0.5490660588741303        3.20218695813517    0.7696051415353183    206.996    667.909    0.0009478559494018555    
0.75    2.67186040057324    0.7636475332098408    90.926    432.949    0.5347992248535156        2.0976558947759156    0.809529710928394    230.872    673.962    0.0009660439491271973    
0.8    1.9833268136880875    0.8110746025942193    98.813    426.454    0.49355993819236754        1.601776314154697    0.8500690550810213    244.356    675.972    0.000769493818283081    
0.85    1.3923913692699086    0.85847681411115    109.815    419.089    0.46612883591651916        1.1946234487487246    0.8877475269721141    258.984    660.007    0.0011829323768615724    
0.9    0.8459995018808811    0.9061764478396842    118.564    401.515    0.45085998487472534        0.746423604648297    0.9259758228663236    284.763    654.305    0.0008164963722229004    
